ID,Warehouse_vintage,Datayear,QCStatus,QCDate,Projname,Watershed,SARIS_PALIS_CAMIS,Waterbody,UNIQUE_ID,STAID_YR,DESCRIPTOR,MLTYP_NAME,MILEPT,nMILEPT,Latitude,Longitude,FSLOG,SURV_TYPE,OWMID,DATE,dDATE,TIME,dTIME,FLOWSTAT,DEPTH,nDEPTH,DEPTHSS,TEMP,nTEMP,TEMPSS,PH,nPH,PHSS,SPCOND,nSPCOND,SPCONDSS,TDS,nTDS,TDSSS,DO,nDO,DOSS,DOSAT,nDOSAT,DOSATSS,ResComm,datetime,year,month,day,day_of_year,season,is_summer,DO_critical,stress_combo,flow_flag,risk_score,TEMP_plus2,DO_plus2
134938,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7240225,Dix Brook,W3005,DIX,"[Financial Park, Franklin]",River/Stream,,,42.06029614,-71.42140501,20-H501-07,Probe,CW-0024,7/8/2020,2020-07-08,3:33:04 PM,15:33:04,Flowing,0.4,0.4,,21.1,21.1,,7.2,7.2,,308.0,308.0,,200.0,200.0,,8.4,8.4,,95,95.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2,23.1,7.9
134939,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7240225,Dix Brook,W3005,DIX,"[Financial Park, Franklin]",River/Stream,,,42.06029614,-71.42140501,20-H501-07,Probe,CW-0025,8/5/2020,2020-08-05,1:09:01 PM,13:09:01,Flowing,0.4,0.4,,23.0,23.0,,7.1,7.1,,438.0,438.0,,285.0,285.0,,7.8,7.8,,92,92.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2,25.0,7.3
134940,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625075,Fuller Brook,W2962,FULLER,"[north of landfill access road, between Route 90 and Lombard Road, Chicopee]",River/Stream,,,42.16373516,-72.534428,20-H502-01,Probe,CW-0027,7/9/2020,2020-07-09,9:01:49 AM,09:01:49,Flowing,0.6,0.6,,21.1,21.1,,7.2,7.2,,313.0,313.0,,204.0,204.0,,8.0,8.0,,90,90.0,,,2020-07-09,2020.0,7.0,9.0,191.0,Summer,1,0,0,1,2,23.1,7.5
134941,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625075,Fuller Brook,W2962,FULLER,"[north of landfill access road, between Route 90 and Lombard Road, Chicopee]",River/Stream,,,42.16373516,-72.534428,20-H502-01,Probe,CW-0028,8/6/2020,2020-08-06,8:56:18 AM,08:56:18,Flowing,0.8,0.8,,19.5,19.5,,7.2,7.2,,405.0,405.0,,263.0,263.0,,8.2,8.2,,89,89.0,,,2020-08-06,2020.0,8.0,6.0,219.0,Summer,1,0,0,1,2,21.5,7.699999999999999
134942,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625145,Unnamed Tributary,W2963,UNT_HIGHER,"[unnamed tributary to Higher Brook, Miller Street, Ludlow]",River/Stream,,,42.18866352,-72.45219345,20-H502-02,Probe,CW-0031,7/9/2020,2020-07-09,10:16:02 AM,10:16:02,Flowing,0.2,0.2,,16.9,16.9,,7.1,7.1,,160.0,160.0,,104.0,104.0,,9.3,9.3,,96,96.0,,,2020-07-09,2020.0,7.0,9.0,191.0,Summer,1,0,0,1,2,18.9,8.8
134943,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625145,Unnamed Tributary,W2963,UNT_HIGHER,"[unnamed tributary to Higher Brook, Miller Street, Ludlow]",River/Stream,,,42.18866352,-72.45219345,20-H502-02,Probe,CW-0032,8/6/2020,2020-08-06,10:02:00 AM,10:02:00,Flowing,0.2,0.2,,18.2,18.2,,7.2,7.2,,172.0,172.0,,112.0,112.0,,8.7,8.7,,92,92.0,,,2020-08-06,2020.0,8.0,6.0,219.0,Summer,1,0,0,1,2,20.2,8.2
134944,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625350,Broad Brook,W2964,BROAD,"[Bondsville Road, Ludlow]",River/Stream,,,42.21061244,-72.40257059,20-H502-03,Probe,CW-0034,7/9/2020,2020-07-09,10:58:00 AM,10:58:00,Flowing,0.6,0.6,,22.6,22.6,,7.1,7.1,,186.0,186.0,,121.0,121.0,,7.1,7.1,,82,82.0,,,2020-07-09,2020.0,7.0,9.0,191.0,Summer,1,0,0,1,2,24.6,6.6
134945,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625350,Broad Brook,W2964,BROAD,"[Bondsville Road, Ludlow]",River/Stream,,,42.21061244,-72.40257059,20-H502-03,Probe,CW-0035,8/6/2020,2020-08-06,10:36:31 AM,10:36:31,Flowing,0.7,0.7,,16.7,16.7,,6.6,6.6,,337.0,337.0,u,219.0,219.0,u,3.9,3.9,,40,40.0,,,2020-08-06,2020.0,8.0,6.0,219.0,Summer,1,1,0,1,3,18.7,3.4
134946,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3600000,Unnamed Tributary,W2975,MURDOCK,"[unnamed tributary to Jabbish Brook (northernmost tributary, nearest Barrett Street),  North Liberty Street, Belchertown]",River/Stream,,,42.2164917,-72.37689964,20-H502-04,Probe,CW-0038,7/9/2020,2020-07-09,11:36:00 AM,11:36:00,Flowing,0.4,0.4,,21.1,21.1,,6.5,6.5,,92.0,92.0,,60.0,60.0,,7.9,7.9,,88,88.0,,,2020-07-09,2020.0,7.0,9.0,191.0,Summer,1,0,0,1,2,23.1,7.4
134947,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3600000,Unnamed Tributary,W2975,MURDOCK,"[unnamed tributary to Jabbish Brook (northernmost tributary, nearest Barrett Street),  North Liberty Street, Belchertown]",River/Stream,,,42.2164917,-72.37689964,20-H502-04,Probe,CW-0039,8/6/2020,2020-08-06,11:09:45 AM,11:09:45,Flowing,0.4,0.4,,17.4,17.4,,6.3,6.3,,150.0,150.0,,97.0,97.0,,1.7,1.7,,17,17.0,,,2020-08-06,2020.0,8.0,6.0,219.0,Summer,1,1,0,1,3,19.4,1.2
134948,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625675,Blodgett Mill Brook,W2965,BLODGETT,"[south of Millbrook Road, approximately 2500 feet upstream of Washington Road, Brimfield]",River/Stream,,,42.17332508,-72.25295351,20-H502-05,Probe,CW-0041,7/9/2020,2020-07-09,1:10:00 PM,13:10:00,Flowing,0.4,0.4,,22.7,22.7,,7.6,7.6,,220.0,220.0,,143.0,143.0,,8.6,8.6,,99,99.0,,,2020-07-09,2020.0,7.0,9.0,191.0,Summer,1,0,0,1,2,24.7,8.1
134949,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625675,Blodgett Mill Brook,W2965,BLODGETT,"[south of Millbrook Road, approximately 2500 feet upstream of Washington Road, Brimfield]",River/Stream,,,42.17332508,-72.25295351,20-H502-05,Probe,CW-0042,8/6/2020,2020-08-06,12:25:45 PM,12:25:45,Flowing,0.4,0.4,,19.1,19.1,,7.5,7.5,,198.0,198.0,,129.0,129.0,,9.3,9.3,,101,101.0,,,2020-08-06,2020.0,8.0,6.0,219.0,Summer,1,0,0,1,2,21.1,8.8
134950,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625775,O'Neil Brook,W2966,ONEIL,"[approximately 150 feet north/upstream of O'Neil Road, Warren]",River/Stream,,,42.22326789,-72.22512226,20-H502-06,Probe,CW-0045,7/9/2020,2020-07-09,2:13:45 PM,14:13:45,Flowing,0.4,0.4,,21.2,21.2,,7.2,7.2,,61.0,61.0,,40.0,40.0,,8.3,8.3,,94,94.0,,,2020-07-09,2020.0,7.0,9.0,191.0,Summer,1,0,0,1,2,23.2,7.800000000000001
134951,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625775,O'Neil Brook,W2966,ONEIL,"[approximately 150 feet north/upstream of O'Neil Road, Warren]",River/Stream,,,42.22326789,-72.22512226,20-H502-06,Probe,CW-0046,8/6/2020,2020-08-06,1:16:15 PM,13:16:15,Flowing,0.3,0.3,,19.6,19.6,,7.2,7.2,,64.0,64.0,,41.0,41.0,,8.6,8.6,,93,93.0,,,2020-08-06,2020.0,8.0,6.0,219.0,Summer,1,0,0,1,2,21.6,8.1
134952,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3626300,Cranberry River,W2971,CRANBERRY,"[approximately 380 feet north/downstream from Howe Road, Spencer]",River/Stream,,,42.21712393,-71.99983627,20-H502-07,Probe,CW-0048,7/9/2020,2020-07-09,3:27:15 PM,15:27:15,Flowing,0.3,0.3,,28.0,28.0,,6.7,6.7,,128.0,128.0,,83.0,83.0,,6.1,6.1,,78,78.0,,,2020-07-09,2020.0,7.0,9.0,191.0,Summer,1,0,0,1,2,30.0,5.6
134953,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3626300,Cranberry River,W2971,CRANBERRY,"[approximately 380 feet north/downstream from Howe Road, Spencer]",River/Stream,,,42.21712393,-71.99983627,20-H502-07,Probe,CW-0049,8/6/2020,2020-08-06,2:18:15 PM,14:18:15,Flowing,0.3,0.3,,22.7,22.7,,6.6,6.6,,136.0,136.0,,88.0,88.0,,6.8,6.8,,79,79.0,,,2020-08-06,2020.0,8.0,6.0,219.0,Summer,1,0,0,1,2,24.7,6.3
134954,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3627550,Muddy Brook,W2983,MUDDY,"[Muddy Brook Road, Hardwick]",River/Stream,,,42.35641055,-72.23099629,20-H503-01,Probe,CW-0052,7/15/2020,2020-07-15,10:56:19 AM,10:56:19,Flowing,0.4,0.4,,20.0,20.0,,6.5,6.5,,64.0,64.0,,41.0,41.0,,7.1,7.1,i,78,78.0,i,,2020-07-15,2020.0,7.0,15.0,197.0,Summer,1,0,0,1,2,22.0,6.6
134955,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3627550,Muddy Brook,W2983,MUDDY,"[Muddy Brook Road, Hardwick]",River/Stream,,,42.35641055,-72.23099629,20-H503-01,Probe,CW-0053,8/12/2020,2020-08-12,9:57:08 AM,09:57:08,Flowing,0.3,0.3,,19.7,19.7,,6.2,6.2,,62.0,62.0,,40.0,40.0,,4.6,4.6,,51,51.0,,,2020-08-12,2020.0,8.0,12.0,225.0,Summer,1,1,0,1,3,21.7,4.1
134956,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3627675,Danforth Brook,W2984,DANFORTH,"[west of Mechanic Street, approximately 500 feet upstream/northwest of Prospect Street, Hardwick]",River/Stream,,,42.31493164,-72.20590855,20-H503-02,Probe,CW-0056,7/15/2020,2020-07-15,11:58:45 AM,11:58:45,Flowing,0.1,0.1,,20.1,20.1,,7.5,7.5,,176.0,176.0,,114.0,114.0,,8.5,8.5,i,94,94.0,i,,2020-07-15,2020.0,7.0,15.0,197.0,Summer,1,0,0,1,2,22.1,8.0
134957,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3627675,Danforth Brook,W2984,DANFORTH,"[west of Mechanic Street, approximately 500 feet upstream/northwest of Prospect Street, Hardwick]",River/Stream,,,42.31493164,-72.20590855,20-H503-02,Probe,CW-0057,8/12/2020,2020-08-12,10:49:17 AM,10:49:17,Flowing,0.1,0.1,,22.4,22.4,,7.4,7.4,,172.0,172.0,,112.0,112.0,,8.0,8.0,,93,93.0,,,2020-08-12,2020.0,8.0,12.0,225.0,Summer,1,0,0,1,2,24.4,7.5
134958,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3627700,Fish Brook,W2985,FISH,"[approximately 200 feet northwest/upstream of River Run (downstream from railroad tracks), Hardwick]",River/Stream,,,42.31601104,-72.18146595,20-H503-03,Probe,CW-0060,7/15/2020,2020-07-15,12:42:00 PM,12:42:00,Flowing,0.2,0.2,,18.2,18.2,,7.4,7.4,,198.0,198.0,,129.0,129.0,,8.7,8.7,i,93,93.0,i,,2020-07-15,2020.0,7.0,15.0,197.0,Summer,1,0,0,1,2,20.2,8.2
134959,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3627700,Fish Brook,W2985,FISH,"[approximately 200 feet northwest/upstream of River Run (downstream from railroad tracks), Hardwick]",River/Stream,,,42.31601104,-72.18146595,20-H503-03,Probe,CW-0061,8/12/2020,2020-08-12,11:28:00 AM,11:28:00,Flowing,0.3,0.3,,19.9,19.9,,7.3,7.3,,190.0,190.0,,123.0,123.0,,7.8,7.8,,86,86.0,,,2020-08-12,2020.0,8.0,12.0,225.0,Summer,1,0,0,1,2,21.9,7.3
134960,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3626000,Meadow Brook,W2967,MEADOW,"[Waite Corner Road, North Brookfield]",River/Stream,,,42.28886649,-72.12794852,20-H503-04,Probe,CW-0064,7/15/2020,2020-07-15,1:22:32 PM,13:22:32,Flowing,0.7,0.7,,19.1,19.1,,6.6,6.6,,146.0,146.0,,95.0,95.0,,8.4,8.4,i,90,90.0,i,,2020-07-15,2020.0,7.0,15.0,197.0,Summer,1,0,0,1,2,21.1,7.9
134961,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3626000,Meadow Brook,W2967,MEADOW,"[Waite Corner Road, North Brookfield]",River/Stream,,,42.28886649,-72.12794852,20-H503-04,Probe,CW-0065,8/12/2020,2020-08-12,12:09:23 PM,12:09:23,Flowing,0.1,0.1,,21.2,21.2,,6.4,6.4,,114.0,114.0,,74.0,74.0,,5.4,5.4,,61,61.0,,,2020-08-12,2020.0,8.0,12.0,225.0,Summer,1,0,0,1,2,23.2,4.9
134962,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3626025,Sucker Brook,W2968,SUCKER,"[east of Murphy Road, approximately 2900 feet south/downstream from Mill Road, North Brookfield]",River/Stream,,,42.2978692,-72.11726439,20-H503-05,Probe,CW-0067,7/15/2020,2020-07-15,2:26:35 PM,14:26:35,Flowing,0.0,0.0,i,20.8,20.8,,7.3,7.3,,104.0,104.0,,67.0,67.0,,8.5,8.5,i,95,95.0,i,,2020-07-15,2020.0,7.0,15.0,197.0,Summer,1,0,0,1,2,22.8,8.0
134963,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3626025,Sucker Brook,W2968,SUCKER,"[east of Murphy Road, approximately 2900 feet south/downstream from Mill Road, North Brookfield]",River/Stream,,,42.2978692,-72.11726439,20-H503-05,Probe,CW-0068,8/12/2020,2020-08-12,12:47:31 PM,12:47:31,Flowing,0.1,0.1,,23.7,23.7,,7.2,7.2,,111.0,111.0,,72.0,72.0,,7.9,7.9,,93,93.0,,,2020-08-12,2020.0,8.0,12.0,225.0,Summer,1,0,0,1,2,25.7,7.4
134964,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3600000,Unnamed Tributary,W2969,UNT_SUCKER,"[unnamed tributary to Sucker Brook, approximately 300 feet southwest/downstream from Barre Road (Route 67), New Braintree]",River/Stream,,,42.31427223,-72.09667589,20-H503-06,Probe,CW-0071,7/15/2020,2020-07-15,3:20:43 PM,15:20:43,Flowing,0.0,0.0,i,18.6,18.6,,6.2,6.2,,169.0,169.0,,110.0,110.0,,7.0,7.0,i,74,74.0,i,,2020-07-15,2020.0,7.0,15.0,197.0,Summer,1,0,0,1,2,20.6,6.5
134966,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3626475,Maynard Brook,W2974,MAYNARD,"[Lincoln Road, Oakham]",River/Stream,,,42.33173523,-72.05029579,20-H503-07,Probe,CW-0075,7/15/2020,2020-07-15,3:51:22 PM,15:51:22,Flowing,0.3,0.3,,23.1,23.1,,6.3,6.3,,60.0,60.0,,39.0,39.0,,5.7,5.7,i,66,66.0,i,,2020-07-15,2020.0,7.0,15.0,197.0,Summer,1,0,0,1,2,25.1,5.2
134967,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3626475,Maynard Brook,W2974,MAYNARD,"[Lincoln Road, Oakham]",River/Stream,,,42.33173523,-72.05029579,20-H503-07,Probe,CW-0076,8/12/2020,2020-08-12,2:33:00 PM,14:33:00,Flowing,0.0,0.0,i,29.5,29.5,,6.4,6.4,,55.0,55.0,,36.0,36.0,,6.0,6.0,,79,79.0,,,2020-08-12,2020.0,8.0,12.0,225.0,Summer,1,0,0,1,2,31.5,5.5
134968,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3626400,Fivemile River,W2973,5MILE,"[approximately 100 feet downstream/southwest of Spencer Road (west of Bechan Road intersection), Oakham]",River/Stream,,,42.33884782,-72.03406499,20-H503-08,Probe,CW-0078,7/15/2020,2020-07-15,4:26:20 PM,16:26:20,Flowing,0.1,0.1,,20.2,20.2,,6.8,6.8,,147.0,147.0,,95.0,95.0,,7.1,7.1,i,78,78.0,i,,2020-07-15,2020.0,7.0,15.0,197.0,Summer,1,0,0,1,2,22.2,6.6
134969,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3626400,Fivemile River,W2973,5MILE,"[approximately 100 feet downstream/southwest of Spencer Road (west of Bechan Road intersection), Oakham]",River/Stream,,,42.33884782,-72.03406499,20-H503-08,Probe,CW-0079,8/12/2020,2020-08-12,3:08:18 PM,15:08:18,Flowing,0.1,0.1,,23.4,23.4,,6.7,6.7,,164.0,164.0,,106.0,106.0,,6.4,6.4,,75,75.0,,,2020-08-12,2020.0,8.0,12.0,225.0,Summer,1,0,0,1,2,25.4,5.9
134970,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3627200,East Branch Swift River,W2025,EB_SWIFT,"[Route 32A (Hardwick Road), Petersham]",River/Stream,,,42.43816198,-72.20732375,20-H504-01,Probe,CW-0081,7/16/2020,2020-07-16,9:25:42 AM,09:25:42,Flowing,0.9,0.9,,19.4,19.4,,6.9,6.9,,84.0,84.0,,55.0,55.0,,8.8,8.8,,96,96.0,,,2020-07-16,2020.0,7.0,16.0,198.0,Summer,1,0,0,1,2,21.4,8.3
