ID,Warehouse_vintage,Datayear,QCStatus,QCDate,Projname,Watershed,SARIS_PALIS_CAMIS,Waterbody,UNIQUE_ID,STAID_YR,DESCRIPTOR,MLTYP_NAME,MILEPT,nMILEPT,Latitude,Longitude,FSLOG,SURV_TYPE,OWMID,DATE,dDATE,TIME,dTIME,FLOWSTAT,DEPTH,nDEPTH,DEPTHSS,TEMP,nTEMP,TEMPSS,PH,nPH,PHSS,SPCOND,nSPCOND,SPCONDSS,TDS,nTDS,TDSSS,DO,nDO,DOSS,DOSAT,nDOSAT,DOSATSS,ResComm,datetime,year,month,day,day_of_year,season,is_summer,DO_critical,stress_combo,flow_flag,risk_score
134864,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132900,Dark Brook,W1776,Bla11,"[Berlin Street, Auburn]",River/Stream,,,42.20670671,-71.85281517,20-G501-10,Probe,17-0123,11/1/2019,2019-11-01,3:25:03 PM,15:25:03,Flowing,,,i,13.3,13.3,,7.3,7.3,,505.0,505.0,,323.0,323.0,,9.3,9.3,,91,91.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
134865,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5133050,Tatnuck Brook,W1426,Bla12,"[unnamed tributary to Coes Reservoir, locally considered part of Tatnuck Brook, upstream at June Street, Worcester]",River/Stream,0.323,0.323,42.26230119,-71.84822737,20-G501-11,Probe,17-0125,11/1/2019,2019-11-01,4:05:34 PM,16:05:34,Flowing,0.1,0.1,,13.0,13.0,,7.3,7.3,,252.0,252.0,,161.0,161.0,,9.8,9.8,,95,95.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
134914,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5133025,Weasel Brook,W2944,Bla01,"[daylighted portion of brook south of Brooks Street, Worcester]",River/Stream,,,42.30793443,-71.80008188,20-G504-01,Probe,17-0265,9/16/2020,2020-09-16,8:31:31 AM,08:31:31,Flowing,0.0,0.0,i,14.7,14.7,,6.9,6.9,i,726.0,726.0,,472.0,472.0,,4.8,4.8,,47,47.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,1,0,1,2
134915,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132575,Poor Farm Brook,W2945,Bla02,"[approximately 50 feet upstream/west of Northeast Cutoff, Worcester]",River/Stream,,,42.30647078,-71.76580774,20-G504-02,Probe,17-0266,9/16/2020,2020-09-16,9:02:38 AM,09:02:38,Flowing,0.0,0.0,i,12.9,12.9,,6.8,6.8,i,1011.0,1011.0,,657.0,657.0,,10.4,10.4,,99,99.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,0,0,1,1
134916,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132475,Big Bummet Brook,W2946,Bla03,"[downstream from Pratts Pond Dam (NAT ID: MA00581) Route 30, Grafton]",River/Stream,,,42.23658166,-71.70515602,20-G504-03,Probe,17-0267,9/16/2020,2020-09-16,9:44:34 AM,09:44:34,Flowing,0.0,0.0,i,17.2,17.2,,7.2,7.2,i,608.0,608.0,,395.0,395.0,,8.4,8.4,,87,87.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,0,0,1,1
134917,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132425,Quinsigamond River,W2188,Bla04,"[Brigham Hill Road, Grafton]",River/Stream,,,42.20836571,-71.69757011,20-G504-04,Probe,17-0268,9/16/2020,2020-09-16,10:21:00 AM,10:21:00,Flowing,0.1,0.1,,19.0,19.0,,7.2,7.2,i,664.0,664.0,,431.0,431.0,,8.1,8.1,,87,87.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,0,0,1,1
134918,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5131000,Blackstone River,W1242,Bla05,"[Route 122A (below Fisherville Pond), Grafton]",River/Stream,21.344,21.344,42.17728889,-71.68788468,20-G504-05,Probe,17-0269,9/16/2020,2020-09-16,11:03:28 AM,11:03:28,Flowing,0.1,0.1,,17.8,17.8,,7.8,7.8,i,816.0,816.0,,531.0,531.0,,9.4,9.4,,99,99.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,0,0,1,1
134919,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132650,Cold Spring Brook,W2947,Bla06,"[Route 122A (Providence Road), Sutton]",River/Stream,,,42.17548786,-71.72816762,20-G504-06,Probe,17-0270,9/16/2020,2020-09-16,11:35:58 AM,11:35:58,Flowing,0.1,0.1,,13.0,13.0,,6.9,6.9,i,393.0,393.0,,256.0,256.0,,10.0,10.0,,95,95.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,0,0,1,1
134920,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132750,Singletary Brook,W1767,Bla07,"[Sycamore Street, Millbury]",River/Stream,,,42.18277682,-71.76604587,20-G504-07,Probe,17-0271,9/16/2020,2020-09-16,12:11:26 PM,12:11:26,Flowing,0.0,0.0,i,14.8,14.8,,7.6,7.6,i,335.0,335.0,,218.0,218.0,,10.1,10.1,,100,100.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,0,0,1,1
134921,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132825,Dark Brook,W2949,Bla09,"[east of Southbridge Street approximately 430 feet upstream of Brotherton Way, Auburn (downstream of access ramp nearest the Auburn Mall parking garage)]",River/Stream,,,42.20322946,-71.8374543,20-G504-08,Probe,17-0272,9/16/2020,2020-09-16,12:59:23 PM,12:59:23,Flowing,0.1,0.1,,15.3,15.3,,7.4,7.4,i,2255.0,2255.0,,1466.0,1466.0,,12.0,12.0,,121,121.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,0,0,1,1
134922,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132880,Unnamed Tributary,W2950,Bla10,"[unnamed tributary to the Dark Brook that outlets Eddy Pond, Sharon Avenue, Auburn]",River/Stream,,,42.19026146,-71.84582602,20-G504-09,Probe,17-0273,9/16/2020,2020-09-16,1:39:49 PM,13:39:49,Flowing,0.2,0.2,,15.5,15.5,,8.2,8.2,i,2069.0,2069.0,,1345.0,1345.0,,10.2,10.2,,103,103.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,0,0,1,1
134923,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132900,Dark Brook,W1776,Bla11,"[Berlin Street, Auburn]",River/Stream,,,42.20670671,-71.85281517,20-G504-10,Probe,17-0274,9/16/2020,2020-09-16,2:18:19 PM,14:18:19,Flowing,0.0,0.0,i,17.2,17.2,,7.4,7.4,i,593.0,593.0,,386.0,386.0,,8.8,8.8,,92,92.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,0,0,1,1
134924,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5133050,Tatnuck Brook,W1426,Bla12,"[unnamed tributary to Coes Reservoir, locally considered part of Tatnuck Brook, upstream at June Street, Worcester]",River/Stream,0.323,0.323,42.26230119,-71.84822737,20-G504-11,Probe,17-0275,9/16/2020,2020-09-16,2:57:56 PM,14:57:56,Flowing,0.0,0.0,i,16.8,16.8,,7.2,7.2,i,332.0,332.0,,216.0,216.0,,8.3,8.3,,86,86.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,0,0,1,1
134925,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5100000,Unnamed Tributary,W2948,Bla08,"[unnamed tributary to Indian Lake, Holden Street, Worcester]",River/Stream,,,42.30798331,-71.81943101,20-G504-12,Probe,17-0276,9/16/2020,2020-09-16,3:45:28 PM,15:45:28,Flowing,0.1,0.1,,15.2,15.2,,7.3,7.3,i,417.0,417.0,u,271.0,271.0,u,9.5,9.5,,94,94.0,,,2020-09-16,2020.0,9.0,16.0,260.0,Fall,0,0,0,1,1
134926,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7239300,Seaverns Brook,W1590,SEAVERNS,"[approximately 1100 feet downstream from Park Road, Weston]",River/Stream,,,42.34154459,-71.26662505,20-H501-01,Probe,CW-0003,7/8/2020,2020-07-08,9:10:43 AM,09:10:43,Flowing,0.1,0.1,,18.9,18.9,,7.6,7.6,,615.0,615.0,,400.0,400.0,,9.3,9.3,,100,100.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2
134927,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7239300,Seaverns Brook,W1590,SEAVERNS,"[approximately 1100 feet downstream from Park Road, Weston]",River/Stream,,,42.34154459,-71.26662505,20-H501-01,Probe,CW-0004,8/5/2020,2020-08-05,8:42:30 AM,08:42:30,Flowing,0.1,0.1,,20.5,20.5,,7.8,7.8,,745.0,745.0,,484.0,484.0,,8.9,8.9,,99,99.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2
134928,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7239250,Cherry Brook,W3003,CHERRY,"[approximately 100 feet upstream/west of Conant Road, Weston]",River/Stream,,,42.38881334,-71.29698568,20-H501-02,Probe,CW-0006,7/8/2020,2020-07-08,10:05:59 AM,10:05:59,Flowing,0.3,0.3,,21.7,21.7,,6.9,6.9,,383.0,383.0,,249.0,249.0,,6.2,6.2,,71,71.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2
134929,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7239250,Cherry Brook,W3003,CHERRY,"[approximately 100 feet upstream/west of Conant Road, Weston]",River/Stream,,,42.38881334,-71.29698568,20-H501-02,Probe,CW-0007,8/5/2020,2020-08-05,9:19:30 AM,09:19:30,Flowing,0.2,0.2,,21.5,21.5,,7.3,7.3,,442.0,442.0,,287.0,287.0,,7.1,7.1,,80,80.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2
134932,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Neponset,7341250,Purgatory Brook,W3006,PURGATORY,"[upstream northwest at Route 1 (near Everett Street), Norwood]",River/Stream,,,42.20924747,-71.18482101,20-H501-04,Probe,CW-0013,7/8/2020,2020-07-08,11:56:48 AM,11:56:48,Flowing,0.4,0.4,,20.1,20.1,,7.0,7.0,,862.0,862.0,,561.0,561.0,,7.8,7.8,,86,86.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2
134933,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Neponset,7341250,Purgatory Brook,W3006,PURGATORY,"[upstream northwest at Route 1 (near Everett Street), Norwood]",River/Stream,,,42.20924747,-71.18482101,20-H501-04,Probe,CW-0014,8/5/2020,2020-08-05,10:07:00 AM,10:07:00,Flowing,0.3,0.3,,21.9,21.9,,6.8,6.8,,921.0,921.0,,599.0,599.0,,5.8,5.8,,66,66.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2
134934,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Neponset,7341600,Mill Brook,W0546,MILL,"[upstream/north of the inlet of Pettee Pond, north of the western end of Winslow Road, Westwood]",River/Stream,0.01,0.01,42.18920084,-71.2401585,20-H501-05,Probe,CW-0017,7/8/2020,2020-07-08,12:49:00 PM,12:49:00,Flowing,0.4,0.4,,19.3,19.3,,6.8,6.8,,303.0,303.0,,197.0,197.0,,8.4,8.4,,91,91.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2
134935,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Neponset,7341600,Mill Brook,W0546,MILL,"[upstream/north of the inlet of Pettee Pond, north of the western end of Winslow Road, Westwood]",River/Stream,0.01,0.01,42.18920084,-71.2401585,20-H501-05,Probe,CW-0018,8/5/2020,2020-08-05,10:53:00 AM,10:53:00,Flowing,0.3,0.3,,21.1,21.1,,7.0,7.0,,462.0,462.0,,301.0,301.0,,7.9,7.9,,89,89.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2
134936,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Blackstone,5131025,Abbott Run,W2992,ABBOTT,"[Hunts Bridge Road, North Attleborough]",River/Stream,,,41.94464888,-71.37166023,20-H501-06,Probe,CW-0020,7/8/2020,2020-07-08,2:28:30 PM,14:28:30,Flowing,0.7,0.7,,22.4,22.4,,6.9,6.9,,243.0,243.0,,158.0,158.0,,8.4,8.4,,97,97.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2
134937,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Blackstone,5131025,Abbott Run,W2992,ABBOTT,"[Hunts Bridge Road, North Attleborough]",River/Stream,,,41.94464888,-71.37166023,20-H501-06,Probe,CW-0021,8/5/2020,2020-08-05,12:10:30 PM,12:10:30,Flowing,0.9,0.9,,24.6,24.6,,6.9,6.9,,229.0,229.0,,149.0,149.0,,7.4,7.4,,89,89.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2
134938,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7240225,Dix Brook,W3005,DIX,"[Financial Park, Franklin]",River/Stream,,,42.06029614,-71.42140501,20-H501-07,Probe,CW-0024,7/8/2020,2020-07-08,3:33:04 PM,15:33:04,Flowing,0.4,0.4,,21.1,21.1,,7.2,7.2,,308.0,308.0,,200.0,200.0,,8.4,8.4,,95,95.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2
134939,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7240225,Dix Brook,W3005,DIX,"[Financial Park, Franklin]",River/Stream,,,42.06029614,-71.42140501,20-H501-07,Probe,CW-0025,8/5/2020,2020-08-05,1:09:01 PM,13:09:01,Flowing,0.4,0.4,,23.0,23.0,,7.1,7.1,,438.0,438.0,,285.0,285.0,,7.8,7.8,,92,92.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2
134940,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625075,Fuller Brook,W2962,FULLER,"[north of landfill access road, between Route 90 and Lombard Road, Chicopee]",River/Stream,,,42.16373516,-72.534428,20-H502-01,Probe,CW-0027,7/9/2020,2020-07-09,9:01:49 AM,09:01:49,Flowing,0.6,0.6,,21.1,21.1,,7.2,7.2,,313.0,313.0,,204.0,204.0,,8.0,8.0,,90,90.0,,,2020-07-09,2020.0,7.0,9.0,191.0,Summer,1,0,0,1,2
134941,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625075,Fuller Brook,W2962,FULLER,"[north of landfill access road, between Route 90 and Lombard Road, Chicopee]",River/Stream,,,42.16373516,-72.534428,20-H502-01,Probe,CW-0028,8/6/2020,2020-08-06,8:56:18 AM,08:56:18,Flowing,0.8,0.8,,19.5,19.5,,7.2,7.2,,405.0,405.0,,263.0,263.0,,8.2,8.2,,89,89.0,,,2020-08-06,2020.0,8.0,6.0,219.0,Summer,1,0,0,1,2
134942,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625145,Unnamed Tributary,W2963,UNT_HIGHER,"[unnamed tributary to Higher Brook, Miller Street, Ludlow]",River/Stream,,,42.18866352,-72.45219345,20-H502-02,Probe,CW-0031,7/9/2020,2020-07-09,10:16:02 AM,10:16:02,Flowing,0.2,0.2,,16.9,16.9,,7.1,7.1,,160.0,160.0,,104.0,104.0,,9.3,9.3,,96,96.0,,,2020-07-09,2020.0,7.0,9.0,191.0,Summer,1,0,0,1,2
134943,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625145,Unnamed Tributary,W2963,UNT_HIGHER,"[unnamed tributary to Higher Brook, Miller Street, Ludlow]",River/Stream,,,42.18866352,-72.45219345,20-H502-02,Probe,CW-0032,8/6/2020,2020-08-06,10:02:00 AM,10:02:00,Flowing,0.2,0.2,,18.2,18.2,,7.2,7.2,,172.0,172.0,,112.0,112.0,,8.7,8.7,,92,92.0,,,2020-08-06,2020.0,8.0,6.0,219.0,Summer,1,0,0,1,2
134944,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625350,Broad Brook,W2964,BROAD,"[Bondsville Road, Ludlow]",River/Stream,,,42.21061244,-72.40257059,20-H502-03,Probe,CW-0034,7/9/2020,2020-07-09,10:58:00 AM,10:58:00,Flowing,0.6,0.6,,22.6,22.6,,7.1,7.1,,186.0,186.0,,121.0,121.0,,7.1,7.1,,82,82.0,,,2020-07-09,2020.0,7.0,9.0,191.0,Summer,1,0,0,1,2
134945,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3625350,Broad Brook,W2964,BROAD,"[Bondsville Road, Ludlow]",River/Stream,,,42.21061244,-72.40257059,20-H502-03,Probe,CW-0035,8/6/2020,2020-08-06,10:36:31 AM,10:36:31,Flowing,0.7,0.7,,16.7,16.7,,6.6,6.6,,337.0,337.0,u,219.0,219.0,u,3.9,3.9,,40,40.0,,,2020-08-06,2020.0,8.0,6.0,219.0,Summer,1,1,0,1,3
134946,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3600000,Unnamed Tributary,W2975,MURDOCK,"[unnamed tributary to Jabbish Brook (northernmost tributary, nearest Barrett Street),  North Liberty Street, Belchertown]",River/Stream,,,42.2164917,-72.37689964,20-H502-04,Probe,CW-0038,7/9/2020,2020-07-09,11:36:00 AM,11:36:00,Flowing,0.4,0.4,,21.1,21.1,,6.5,6.5,,92.0,92.0,,60.0,60.0,,7.9,7.9,,88,88.0,,,2020-07-09,2020.0,7.0,9.0,191.0,Summer,1,0,0,1,2
134947,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Chicopee,3600000,Unnamed Tributary,W2975,MURDOCK,"[unnamed tributary to Jabbish Brook (northernmost tributary, nearest Barrett Street),  North Liberty Street, Belchertown]",River/Stream,,,42.2164917,-72.37689964,20-H502-04,Probe,CW-0039,8/6/2020,2020-08-06,11:09:45 AM,11:09:45,Flowing,0.4,0.4,,17.4,17.4,,6.3,6.3,,150.0,150.0,,97.0,97.0,,1.7,1.7,,17,17.0,,,2020-08-06,2020.0,8.0,6.0,219.0,Summer,1,1,0,1,3
